Number,Time,Temperature
1,2018-01-26 14:41:13,24.7
2,2018-01-26 14:46:13,22.7
3,2018-01-26 14:51:13,21.6
4,2018-01-26 14:56:13,21.2
5,2018-01-26 15:01:13,21
6,2018-01-26 15:06:13,21
7,2018-01-26 15:11:13,20.9
8,2018-01-26 15:16:13,20.9
9,2018-01-26 15:21:13,20.9
10,2018-01-26 15:26:13,20.9
11,2018-01-26 15:31:13,20.9
12,2018-01-26 15:36:13,20.9
13,2018-01-26 15:41:13,20.9
14,2018-01-26 15:46:13,20.9
15,2018-01-26 15:51:13,20.9
16,2018-01-26 15:56:13,20.9
17,2018-01-26 16:01:13,20.9
18,2018-01-26 16:06:13,20.9
19,2018-01-26 16:11:13,20.9
20,2018-01-26 16:16:13,20.9
21,2018-01-26 16:21:13,20.9
22,2018-01-26 16:26:13,20.9
23,2018-01-26 16:31:13,20.9
24,2018-01-26 16:36:13,20.9
25,2018-01-26 16:41:13,20.9
26,2018-01-26 16:46:13,20.9
27,2018-01-26 16:51:13,20.9
28,2018-01-26 16:56:13,20.9
29,2018-01-26 17:01:13,20.9
30,2018-01-26 17:06:13,20.9
31,2018-01-26 17:11:13,20.9
32,2018-01-26 17:16:13,20.9
33,2018-01-26 17:21:13,20.9
34,2018-01-26 17:26:13,20.9
35,2018-01-26 17:31:13,20.9
36,2018-01-26 17:36:13,20.9
37,2018-01-26 17:41:13,20.9
38,2018-01-26 17:46:13,20.9
39,2018-01-26 17:51:13,20.9
40,2018-01-26 17:56:13,21
41,2018-01-26 18:01:13,20.9
42,2018-01-26 18:06:13,21
43,2018-01-26 18:11:13,21
44,2018-01-26 18:16:13,20.9
45,2018-01-26 18:21:13,20.9
46,2018-01-26 18:26:13,20.9
47,2018-01-26 18:31:13,20.9
48,2018-01-26 18:36:13,20.9
49,2018-01-26 18:41:13,20.9
50,2018-01-26 18:46:13,20.9
51,2018-01-26 18:51:13,20.9
52,2018-01-26 18:56:13,20.9
53,2018-01-26 19:01:13,20.9
54,2018-01-26 19:06:13,20.9
55,2018-01-26 19:11:13,20.9
56,2018-01-26 19:16:13,20.9
57,2018-01-26 19:21:13,20.9
58,2018-01-26 19:26:13,20.9
59,2018-01-26 19:31:13,20.9
60,2018-01-26 19:36:13,20.9
61,2018-01-26 19:41:13,20.9
62,2018-01-26 19:46:13,20.9
63,2018-01-26 19:51:13,21
64,2018-01-26 19:56:13,21
65,2018-01-26 20:01:13,21
66,2018-01-26 20:06:13,20.9
67,2018-01-26 20:11:13,21
68,2018-01-26 20:16:13,20.9
69,2018-01-26 20:21:13,20.9
70,2018-01-26 20:26:13,20.9
71,2018-01-26 20:31:13,20.9
72,2018-01-26 20:36:13,20.9
73,2018-01-26 20:41:13,20.9
74,2018-01-26 20:46:13,20.9
75,2018-01-26 20:51:13,20.9
76,2018-01-26 20:56:13,20.9
77,2018-01-26 21:01:13,20.9
78,2018-01-26 21:06:13,20.9
79,2018-01-26 21:11:13,20.9
80,2018-01-26 21:16:13,20.9
81,2018-01-26 21:21:13,20.9
82,2018-01-26 21:26:13,20.9
83,2018-01-26 21:31:13,20.9
84,2018-01-26 21:36:13,20.9
85,2018-01-26 21:41:13,20.9
86,2018-01-26 21:46:13,20.9
87,2018-01-26 21:51:13,20.9
88,2018-01-26 21:56:13,20.9
89,2018-01-26 22:01:13,20.9
90,2018-01-26 22:06:13,20.9
91,2018-01-26 22:11:13,20.9
92,2018-01-26 22:16:13,20.9
93,2018-01-26 22:21:13,20.9
94,2018-01-26 22:26:13,20.9
95,2018-01-26 22:31:13,20.9
96,2018-01-26 22:36:13,20.9
97,2018-01-26 22:41:13,20.9
98,2018-01-26 22:46:13,20.9
99,2018-01-26 22:51:13,20.9
100,2018-01-26 22:56:13,20.9
101,2018-01-26 23:01:13,20.9
102,2018-01-26 23:06:13,20.9
103,2018-01-26 23:11:13,20.9
104,2018-01-26 23:16:13,20.9
105,2018-01-26 23:21:13,20.9
106,2018-01-26 23:26:13,20.9
107,2018-01-26 23:31:13,20.9
108,2018-01-26 23:36:13,20.9
109,2018-01-26 23:41:13,20.9
110,2018-01-26 23:46:13,20.9
111,2018-01-26 23:51:13,20.9
112,2018-01-26 23:56:13,20.9
113,2018-01-27 00:01:13,20.9
114,2018-01-27 00:06:13,20.9
115,2018-01-27 00:11:13,20.9
116,2018-01-27 00:16:13,20.9
117,2018-01-27 00:21:13,20.9
118,2018-01-27 00:26:13,20.9
119,2018-01-27 00:31:13,20.9
120,2018-01-27 00:36:13,20.9
121,2018-01-27 00:41:13,20.9
122,2018-01-27 00:46:13,20.9
123,2018-01-27 00:51:13,20.9
124,2018-01-27 00:56:13,20.9
125,2018-01-27 01:01:13,20.9
126,2018-01-27 01:06:13,20.9
127,2018-01-27 01:11:13,20.9
128,2018-01-27 01:16:13,20.9
129,2018-01-27 01:21:13,20.9
130,2018-01-27 01:26:13,20.9
131,2018-01-27 01:31:13,20.9
132,2018-01-27 01:36:13,20.9
133,2018-01-27 01:41:13,20.9
134,2018-01-27 01:46:13,20.9
135,2018-01-27 01:51:13,20.9
136,2018-01-27 01:56:13,20.9
137,2018-01-27 02:01:13,20.9
138,2018-01-27 02:06:13,20.9
139,2018-01-27 02:11:13,20.9
140,2018-01-27 02:16:13,20.9
141,2018-01-27 02:21:13,20.9
142,2018-01-27 02:26:13,20.9
143,2018-01-27 02:31:13,20.9
144,2018-01-27 02:36:13,20.9
145,2018-01-27 02:41:13,20.9
146,2018-01-27 02:46:13,20.9
147,2018-01-27 02:51:13,20.9
148,2018-01-27 02:56:13,20.9
149,2018-01-27 03:01:13,20.9
150,2018-01-27 03:06:13,20.9
151,2018-01-27 03:11:13,20.9
152,2018-01-27 03:16:13,20.9
153,2018-01-27 03:21:13,20.9
154,2018-01-27 03:26:13,20.9
155,2018-01-27 03:31:13,20.9
156,2018-01-27 03:36:13,20.9
157,2018-01-27 03:41:13,20.9
158,2018-01-27 03:46:13,20.9
159,2018-01-27 03:51:13,20.9
160,2018-01-27 03:56:13,20.9
161,2018-01-27 04:01:13,20.9
162,2018-01-27 04:06:13,20.9
163,2018-01-27 04:11:13,20.9
164,2018-01-27 04:16:13,20.9
165,2018-01-27 04:21:13,20.9
166,2018-01-27 04:26:13,20.9
167,2018-01-27 04:31:13,20.9
168,2018-01-27 04:36:13,20.9
169,2018-01-27 04:41:13,20.9
170,2018-01-27 04:46:13,20.9
171,2018-01-27 04:51:13,20.9
172,2018-01-27 04:56:13,20.9
173,2018-01-27 05:01:13,20.9
174,2018-01-27 05:06:13,20.9
175,2018-01-27 05:11:13,20.9
176,2018-01-27 05:16:13,20.9
177,2018-01-27 05:21:13,20.9
178,2018-01-27 05:26:13,20.9
179,2018-01-27 05:31:13,20.9
180,2018-01-27 05:36:13,20.9
181,2018-01-27 05:41:13,20.9
182,2018-01-27 05:46:13,20.9
183,2018-01-27 05:51:13,20.9
184,2018-01-27 05:56:13,20.9
185,2018-01-27 06:01:13,20.9
186,2018-01-27 06:06:13,20.9
187,2018-01-27 06:11:13,20.9
188,2018-01-27 06:16:13,20.9
189,2018-01-27 06:21:13,20.9
190,2018-01-27 06:26:13,20.9
191,2018-01-27 06:31:13,20.9
192,2018-01-27 06:36:13,20.9
193,2018-01-27 06:41:13,20.9
194,2018-01-27 06:46:13,20.9
195,2018-01-27 06:51:13,20.8
196,2018-01-27 06:56:13,20.9
197,2018-01-27 07:01:13,20.9
198,2018-01-27 07:06:13,20.9
199,2018-01-27 07:11:13,20.9
200,2018-01-27 07:16:13,20.9
201,2018-01-27 07:21:13,20.9
202,2018-01-27 07:26:13,20.9
203,2018-01-27 07:31:13,20.9
204,2018-01-27 07:36:13,20.9
